Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
217	Jrue Holiday	SG	28	NOP	53	53	36.7	8.2	17.1	.477	1.7	5.1	.331	6.5	12.0	.538	.526	3.1	4.0	.757	1.2	3.7	4.9	8.0	1.6	0.8	3.3	2.3	21.0
218	Justin Holiday	SG	29	TOT	53	48	32.6	3.5	9.6	.367	2.1	6.2	.339	1.4	3.4	.417	.476	1.1	1.2	.894	0.5	3.6	4.1	2.0	1.6	0.5	1.3	2.0	10.2
218	Justin Holiday	SG	29	CHI	38	38	34.9	4.0	10.4	.383	2.6	7.1	.359	1.4	3.3	.435	.506	1.1	1.2	.891	0.5	3.9	4.4	2.2	1.8	0.6	1.2	2.1	11.6
218	Justin Holiday	SG	29	MEM	15	10	26.9	2.3	7.5	.310	0.9	3.8	.246	1.4	3.7	.375	.372	1.2	1.3	.900	0.3	2.9	3.2	1.5	1.1	0.3	1.6	1.7	6.8
219	John Holland	SF	30	CLE	1	0	1.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
220	Rondae Hollis-Jefferson	SF	24	BRK	43	20	22.5	3.5	8.7	.401	0.2	0.9	.231	3.3	7.7	.420	.413	2.2	3.4	.651	1.3	4.1	5.5	1.8	0.7	0.5	1.1	1.9	9.3
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
221	Richaun Holmes	C	25	PHO	48	2	16.5	3.2	4.8	.664	0.0	0.0		3.2	4.8	.664	.664	1.6	2.3	.722	1.6	2.9	4.5	0.9	0.6	1.2	0.8	2.6	8.0
222	Rodney Hood	SG	26	CLE	45	45	27.4	4.3	10.1	.427	1.2	3.4	.362	3.1	6.7	.460	.488	2.3	2.5	.912	0.4	2.1	2.5	2.0	0.8	0.1	0.8	2.2	12.2
223	Al Horford	C	32	BOS	42	42	28.2	5.3	10.0	.532	1.1	3.0	.359	4.2	6.9	.608	.587	0.8	1.1	.778	1.9	4.8	6.7	3.7	0.8	1.5	1.6	1.9	12.5
224	Danuel House	SF	25	HOU	25	12	24.8	2.8	6.2	.458	1.6	4.0	.390	1.3	2.2	.582	.584	1.8	2.2	.818	0.8	2.8	3.6	1.0	0.6	0.4	0.9	1.8	9.0
225	Dwight Howard	C	33	WAS	9	9	25.6	4.8	7.7	.623	0.0	0.0		4.8	7.7	.623	.623	3.2	5.3	.604	2.7	6.6	9.2	0.4	0.8	0.4	1.8	3.8	12.8
226	Kevin Huerter	SG	20	ATL	48	32	27.1	3.4	8.3	.410	1.8	4.6	.382	1.6	3.7	.444	.515	0.6	0.8	.744	0.8	2.4	3.2	2.8	0.9	0.4	1.6	2.0	9.1
227	Chandler Hutchison	SF	22	CHI	44	14	20.3	2.2	4.8	.459	0.3	1.1	.280	1.9	3.6	.516	.493	0.5	0.9	.605	0.7	3.5	4.2	0.8	0.5	0.1	0.6	1.3	5.2
228	Serge Ibaka	C	29	TOR	49	40	29.0	6.7	12.8	.522	0.7	2.6	.260	6.0	10.2	.589	.549	2.0	2.6	.787	2.1	5.6	7.6	1.4	0.5	1.4	1.8	3.1	16.1
229	Andre Iguodala	SF	35	GSW	47	11	23.6	2.2	4.5	.486	0.7	2.1	.354	1.4	2.4	.604	.569	0.7	1.1	.623	0.7	3.1	3.8	3.2	0.9	0.8	0.8	1.3	5.8
230	Ersan Ilyasova	PF	31	MIL	39	3	17.3	2.3	5.4	.424	0.8	2.3	.341	1.5	3.1	.484	.495	0.7	0.8	.875	1.2	3.1	4.4	0.9	0.6	0.2	0.8	2.3	6.1
231	Joe Ingles	SF	31	UTA	54	54	31.2	4.2	9.8	.431	2.0	5.6	.362	2.2	4.2	.524	.535	1.2	1.7	.720	0.3	3.5	3.8	4.9	1.4	0.2	2.2	2.4	11.8
232	Brandon Ingram	SF	21	LAL	42	42	33.4	6.7	13.7	.487	0.5	1.7	.292	6.2	12.0	.515	.505	3.4	5.2	.650	0.8	4.1	4.9	3.0	0.6	0.6	2.5	2.7	17.2
233	Kyrie Irving	PG	26	BOS	44	44	32.7	9.0	18.1	.497	2.6	6.3	.412	6.4	11.8	.544	.570	3.0	3.5	.853	1.2	3.7	4.9	6.9	1.7	0.5	2.7	2.3	23.6
234	Jonathan Isaac	PF	21	ORL	47	36	25.7	3.0	7.3	.408	0.8	2.8	.273	2.2	4.4	.493	.460	1.6	1.9	.843	1.2	4.1	5.3	1.1	0.8	1.2	1.1	2.0	8.3
235	Wesley Iwundu	SF	24	ORL	39	12	16.8	1.6	4.1	.396	0.3	1.0	.325	1.3	3.1	.420	.437	1.2	1.5	.810	0.4	1.8	2.3	0.8	0.4	0.3	0.6	1.8	4.8
236	Demetrius Jackson	PG	24	PHI	6	0	6.5	1.3	2.5	.533	0.3	1.0	.333	1.0	1.5	.667	.600	0.7	0.7	1.000	0.3	0.2	0.5	0.8	0.3	0.0	0.2	0.7	3.7
237	Frank Jackson	PG	20	NOP	38	3	14.7	2.3	5.2	.449	0.7	2.0	.325	1.7	3.2	.529	.513	0.8	1.0	.784	0.2	1.3	1.5	0.9	0.3	0.0	0.6	1.4	6.1
238	Jaren Jackson	PF	19	MEM	52	50	25.8	5.1	9.9	.512	0.8	2.3	.331	4.3	7.6	.567	.550	2.5	3.2	.782	1.2	3.4	4.7	1.1	0.9	1.5	1.7	3.8	13.4
239	Josh Jackson	SG	21	PHO	54	17	23.5	4.0	9.7	.409	0.8	2.6	.297	3.2	7.1	.449	.448	1.7	2.6	.657	0.8	3.5	4.2	2.3	1.0	0.7	2.3	2.6	10.4
240	Justin Jackson	SF	23	SAC	51	3	21.1	2.5	5.7	.427	1.1	3.1	.348	1.4	2.6	.519	.520	0.8	1.0	.820	0.5	2.4	2.8	1.3	0.5	0.3	0.4	1.3	6.8
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
241	Reggie Jackson	PG	28	DET	51	51	29.1	5.1	12.5	.406	2.0	5.7	.348	3.1	6.8	.454	.485	2.5	2.9	.867	0.6	2.2	2.9	4.3	0.7	0.1	1.7	2.9	14.6
242	LeBron James	PF	34	LAL	35	35	34.8	10.0	19.4	.515	2.0	5.6	.350	8.0	13.7	.582	.566	5.3	7.7	.683	0.9	7.5	8.5	7.2	1.3	0.7	3.4	1.5	27.2
243	Amile Jefferson	PF	25	ORL	1	0	4.0	0.0	1.0	.000	0.0	0.0		0.0	1.0	.000	.000	2.0	2.0	1.000	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0
244	Jonas Jerebko	PF	31	GSW	48	6	18.7	2.5	5.3	.470	1.0	2.9	.362	1.4	2.4	.600	.569	1.0	1.2	.825	1.2	3.6	4.8	1.5	0.3	0.2	0.7	2.1	7.0
245	Alize Johnson	PF	22	IND	11	0	2.9	0.2	0.9	.200	0.1	0.2	.500	0.1	0.7	.125	.250	0.1	0.4	.250	0.1	0.6	0.7	0.0	0.0	0.1	0.0	0.3	0.5
246	Amir Johnson	C	31	PHI	37	2	9.6	1.5	2.8	.534	0.2	0.6	.375	1.2	2.1	.582	.578	0.6	0.8	.767	0.7	1.9	2.6	1.2	0.3	0.2	0.9	1.9	3.8
247	James Johnson	PF	31	MIA	35	33	20.8	2.9	7.1	.417	0.9	2.7	.340	2.0	4.4	.464	.482	0.8	1.0	.750	0.5	2.6	3.1	2.3	0.6	0.4	1.3	2.0	7.6
248	Stanley Johnson	SF	22	DET	46	7	19.8	2.7	7.3	.373	1.0	3.8	.264	1.7	3.5	.491	.442	0.8	1.0	.792	0.5	3.1	3.6	1.2	1.0	0.3	1.2	1.9	7.3
249	Tyler Johnson	PG	26	MIA	43	9	25.4	3.9	9.2	.429	1.7	4.7	.360	2.3	4.5	.500	.520	1.4	2.0	.693	0.4	2.3	2.8	2.6	0.9	0.5	1.4	1.7	11.0
250	Wesley Johnson	SF	31	NOP	26	13	14.5	1.3	3.4	.398	0.7	1.9	.380	0.6	1.5	.421	.506	0.2	0.3	.667	0.4	1.7	2.1	0.6	0.5	0.3	0.5	1.7	3.7
251	Nikola Jokic	C	23	DEN	51	51	31.4	7.6	15.0	.508	1.1	3.6	.308	6.5	11.4	.572	.546	3.8	4.5	.847	2.9	7.6	10.5	7.7	1.4	0.7	3.1	2.8	20.2
252	Damian Jones	C	23	GSW	24	22	17.1	2.2	3.1	.716	0.0	0.0		2.2	3.1	.716	.716	1.0	1.5	.649	1.3	1.8	3.1	1.2	0.5	1.0	0.7	2.6	5.4
253	Derrick Jones	SF	21	MIA	37	5	18.1	2.8	5.5	.512	0.5	1.4	.365	2.3	4.1	.563	.559	1.2	2.0	.616	1.8	2.6	4.4	0.5	0.8	0.7	0.7	1.9	7.4
254	Jalen Jones	SF	25	CLE	16	0	13.4	1.6	3.9	.419	0.6	1.8	.357	1.0	2.1	.471	.500	1.2	1.7	.704	0.7	1.4	2.1	0.4	0.6	0.1	0.5	1.7	5.1
255	Tyus Jones	PG	22	MIN	43	6	20.3	2.1	5.5	.380	0.5	1.7	.297	1.6	3.8	.417	.426	0.7	0.9	.842	0.3	1.4	1.7	4.0	1.3	0.1	0.6	0.9	5.4
256	DeAndre Jordan	C	30	DAL	50	50	31.1	4.2	6.5	.644	0.0	0.0		4.2	6.5	.644	.644	2.7	4.0	.682	3.2	10.5	13.7	2.0	0.7	1.1	2.2	2.5	11.0
257	Cory Joseph	PG	27	IND	52	2	25.7	2.9	6.8	.429	0.8	2.3	.342	2.2	4.6	.473	.486	0.4	0.6	.700	0.4	3.1	3.5	3.9	1.2	0.2	1.2	1.6	7.0
258	Frank Kaminsky	C	25	CHO	24	0	11.3	2.0	4.0	.485	0.6	1.8	.349	1.3	2.3	.593	.562	0.9	1.5	.629	0.8	1.7	2.5	1.1	0.2	0.2	0.8	1.0	5.5
259	Enes Kanter	C	26	NYK	44	23	25.6	5.7	10.6	.536	0.2	0.5	.318	5.5	10.1	.547	.544	2.4	2.9	.814	3.9	6.6	10.5	1.9	0.4	0.4	1.8	2.4	14.0
260	Luke Kennard	SG	22	DET	33	9	20.2	3.1	7.4	.420	1.3	3.6	.358	1.8	3.7	.480	.508	0.6	0.8	.731	0.2	2.6	2.8	1.3	0.4	0.2	0.8	1.3	8.1
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
261	Michael Kidd-Gilchrist	PF	25	CHO	45	1	19.8	2.9	6.0	.485	0.2	0.8	.286	2.7	5.2	.515	.504	1.8	2.4	.776	1.7	2.7	4.4	1.0	0.6	0.8	0.7	2.7	7.9
262	George King	SF	25	PHO	1	0	6.0	0.0	0.0		0.0	0.0		0.0	0.0			0.0	0.0		0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
263	Maxi Kleber	PF	27	DAL	47	10	19.1	2.2	4.9	.444	1.0	2.9	.336	1.2	2.0	.600	.543	0.8	1.0	.796	1.2	2.9	4.0	0.7	0.5	1.2	0.6	1.8	6.2
264	Brandon Knight	PG	27	HOU	12	0	9.8	0.9	3.9	.234	0.4	2.7	.156	0.5	1.3	.400	.287	0.8	0.9	.818	0.1	0.7	0.8	0.8	0.2	0.0	0.4	1.2	3.0
265	Kevin Knox	PF	19	NYK	44	26	27.6	4.5	11.9	.374	1.6	4.8	.340	2.8	7.2	.397	.442	2.0	2.8	.699	0.8	3.4	4.2	0.9	0.6	0.3	1.3	2.4	12.5
266	Furkan Korkmaz	SG	21	PHI	42	6	14.2	2.0	5.1	.398	1.0	3.1	.336	1.0	2.0	.494	.500	0.7	0.9	.806	0.3	2.0	2.3	1.1	0.6	0.0	0.5	1.3	5.8
267	Luke Kornet	PF	23	NYK	24	10	15.3	2.4	5.5	.429	1.5	3.6	.425	0.8	1.9	.435	.568	0.8	1.0	.826	0.6	1.9	2.5	1.3	0.6	0.5	0.6	0.8	7.1
268	Kyle Korver	SG-PF	37	TOT	48	0	18.7	3.0	6.7	.447	2.0	4.7	.420	1.0	2.0	.510	.595	0.9	1.1	.830	0.1	2.0	2.2	1.0	0.3	0.2	0.9	1.5	8.9
268	Kyle Korver	PF	37	CLE	16	0	15.7	2.2	4.8	.461	1.6	3.4	.463	0.6	1.4	.455	.625	0.8	1.0	.813	0.0	1.8	1.8	1.1	0.2	0.1	1.1	1.4	6.8
268	Kyle Korver	SG	37	UTA	32	0	20.2	3.4	7.7	.443	2.2	5.4	.407	1.2	2.3	.527	.585	1.0	1.2	.838	0.2	2.2	2.3	1.0	0.3	0.2	0.8	1.6	10.0
269	Kosta Koufos	C	29	SAC	29	1	12.6	1.8	3.7	.495	0.0	0.0		1.8	3.7	.495	.495	0.2	0.5	.400	1.4	3.2	4.6	0.9	0.4	0.4	0.7	1.8	3.9
270	Rodions Kurucs	SF	20	BRK	37	25	21.0	3.5	7.5	.468	0.8	2.6	.296	2.7	4.9	.561	.520	1.4	1.5	.893	1.0	2.8	3.8	0.6	0.6	0.3	1.2	2.3	9.2
271	Kyle Kuzma	SF	23	LAL	49	47	32.8	7.1	15.3	.464	1.9	6.1	.306	5.2	9.2	.567	.525	2.7	3.5	.767	0.9	4.9	5.8	2.4	0.7	0.4	2.1	2.3	18.8
272	Skal Labissiere	PF	22	SAC	12	0	8.4	1.0	2.3	.444	0.3	0.8	.300	0.8	1.4	.529	.500	0.5	0.9	.545	0.2	1.5	1.7	0.4	0.2	0.2	0.5	1.7	2.8
273	Jeremy Lamb	SG	26	CHO	49	49	28.5	5.4	12.2	.441	1.3	4.0	.340	4.0	8.3	.489	.496	2.6	3.1	.860	0.8	4.8	5.6	2.0	1.0	0.3	1.0	1.9	14.8
274	Zach LaVine	SG	23	CHI	46	45	33.8	8.1	17.8	.454	1.7	5.0	.343	6.4	12.8	.497	.502	4.9	5.7	.866	0.5	3.9	4.4	4.2	1.0	0.4	3.4	2.3	22.8
275	Jake Layman	SF	24	POR	41	25	17.0	2.9	5.5	.520	0.9	2.5	.359	2.0	3.0	.653	.601	0.5	0.6	.731	0.8	2.0	2.8	0.6	0.4	0.3	0.6	1.2	7.1
276	T.J. Leaf	PF	21	IND	31	0	8.1	1.5	2.7	.536	0.1	0.6	.211	1.3	2.1	.631	.560	0.3	0.5	.571	0.5	1.3	1.8	0.5	0.1	0.2	0.3	0.7	3.3
277	Courtney Lee	SG	33	NYK	12	2	13.3	1.8	3.9	.447	0.4	1.3	.313	1.3	2.6	.516	.500	0.8	1.2	.643	0.5	1.8	2.3	1.3	0.7	0.2	0.4	1.1	4.7
278	Damion Lee	SG	26	GSW	17	0	11.9	1.8	3.7	.476	0.8	1.9	.424	0.9	1.8	.533	.587	0.6	0.8	.846	0.2	1.6	1.9	0.2	0.5	0.0	0.5	1.1	5.0
279	Alex Len	C	25	ATL	48	20	19.7	4.0	8.3	.484	0.5	1.8	.279	3.5	6.5	.540	.514	1.9	2.8	.674	2.2	3.6	5.8	1.0	0.4	1.0	1.5	2.6	10.4
280	Kawhi Leonard	SF	27	TOR	39	39	35.1	9.6	19.3	.499	1.8	4.9	.368	7.8	14.4	.544	.546	6.6	7.7	.856	1.4	6.6	7.9	3.2	1.9	0.5	2.1	1.5	27.6
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
281	Meyers Leonard	C	26	POR	48	1	14.6	2.3	4.1	.545	0.9	1.9	.467	1.4	2.2	.613	.654	0.7	0.8	.875	0.8	3.2	4.0	1.3	0.3	0.2	0.7	1.7	6.1
282	Jon Leuer	PF	29	DET	31	1	11.1	1.9	3.2	.606	0.0	0.3	.000	1.9	2.9	.667	.606	0.7	0.9	.759	0.7	2.0	2.7	0.4	0.4	0.1	0.7	1.6	4.6
283	Caris LeVert	SF	24	BRK	14	14	29.7	6.9	14.6	.475	1.4	4.4	.311	5.6	10.2	.545	.522	3.1	4.4	.721	1.0	3.3	4.3	3.7	1.2	0.4	2.1	2.4	18.4
284	Damian Lillard	PG	28	POR	51	51	35.3	8.7	19.3	.450	2.8	7.6	.372	5.8	11.7	.501	.523	6.2	6.8	.908	0.8	3.8	4.6	6.3	1.1	0.5	2.8	1.8	26.4
285	Jeremy Lin	PG	30	ATL	47	1	19.6	3.5	7.5	.469	0.9	2.6	.339	2.6	4.9	.537	.527	2.9	3.4	.839	0.3	2.0	2.3	3.6	0.7	0.1	2.0	1.8	10.8
286	Shaun Livingston	PG	33	GSW	41	0	15.4	1.9	3.8	.484	0.0	0.0	.000	1.9	3.8	.490	.484	0.9	1.0	.814	0.7	1.3	2.0	2.0	0.5	0.5	0.6	1.2	4.6
287	Zach Lofton	SG	26	DET	1	0	4.0	0.0	1.0	.000	0.0	1.0	.000	0.0	0.0		.000	0.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0
288	Kevon Looney	C	22	GSW	52	22	21.0	3.0	4.8	.623	0.0	0.2	.100	2.9	4.6	.646	.626	0.9	1.5	.623	2.6	3.3	6.0	1.8	0.6	0.9	0.7	2.8	6.9
289	Brook Lopez	C	30	MIL	51	51	28.0	4.4	9.5	.460	2.5	6.5	.387	1.8	3.0	.618	.593	1.0	1.3	.803	0.4	3.7	4.1	1.0	0.5	2.1	1.0	2.2	12.3
290	Robin Lopez	C	30	CHI	45	7	16.9	2.7	5.1	.524	0.1	0.4	.278	2.6	4.7	.545	.535	0.7	1.0	.674	1.4	1.6	2.9	0.9	0.2	0.9	1.3	1.6	6.1
291	Kevin Love	PF	30	CLE	4	4	34.0	5.3	16.3	.323	1.8	6.0	.292	3.5	10.3	.341	.377	6.8	8.3	.818	2.5	11.0	13.5	3.5	0.3	0.3	2.5	3.5	19.0
292	Kyle Lowry	PG	32	TOR	42	42	34.3	4.7	11.4	.409	2.1	6.7	.319	2.5	4.7	.538	.503	2.6	3.1	.846	0.6	3.9	4.5	9.2	1.4	0.5	2.8	2.5	14.1
293	Jordan Loyd	PG	25	TOR	5	0	4.8	0.6	1.0	.600	0.4	0.4	1.000	0.2	0.6	.333	.800	0.8	0.8	1.000	0.2	1.2	1.4	0.4	0.0	0.0	0.4	0.4	2.4
294	Kalin Lucas	PG	29	DET	1	0	6.0	0.0	1.0	.000	0.0	1.0	.000	0.0	0.0		.000	2.0	2.0	1.000	0.0	3.0	3.0	1.0	0.0	0.0	0.0	1.0	2.0
295	Timothe Luwawu-Cabarrot	SF	23	OKC	21	1	5.9	0.6	2.0	.302	0.2	1.0	.227	0.4	1.0	.381	.360	0.2	0.3	.667	0.2	0.7	0.9	0.2	0.2	0.0	0.2	0.7	1.7
296	Tyler Lydon	PF	22	DEN	20	0	4.0	0.4	0.8	.500	0.2	0.5	.400	0.2	0.3	.667	.625	0.1	0.2	.333	0.3	0.5	0.7	0.2	0.1	0.0	0.2	0.5	1.1
297	Trey Lyles	PF	23	DEN	50	1	18.7	3.5	8.3	.419	0.8	3.2	.255	2.7	5.1	.524	.469	1.3	1.9	.691	0.8	3.4	4.2	1.4	0.5	0.4	1.1	1.6	9.1
298	Shelvin Mack	PG	28	MEM	51	3	22.8	3.1	7.4	.424	0.9	2.4	.369	2.2	5.0	.451	.484	1.0	1.5	.707	0.4	1.6	2.0	3.5	0.8	0.1	1.2	1.5	8.2
299	Daryl Macon	SG	23	DAL	3	0	1.7	0.3	0.3	1.000	0.0	0.0		0.3	0.3	1.000	1.000	0.0	0.0		0.0	0.0	0.0	0.0	0.3	0.0	0.3	0.0	0.7
300	J.P. Macura	SG	23	CHO	1	0	14.0	2.0	8.0	.250	0.0	4.0	.000	2.0	4.0	.500	.250	0.0	0.0		0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	4.0
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
301	Ian Mahinmi	C	32	WAS	30	6	14.5	1.3	2.7	.488	0.0	0.4	.083	1.3	2.3	.559	.494	1.3	2.0	.678	1.3	2.2	3.5	0.8	0.8	0.5	0.6	2.5	4.0
302	Thon Maker	C	21	MIL	35	0	11.7	1.7	3.8	.440	0.7	2.2	.333	0.9	1.6	.589	.537	0.6	1.1	.541	0.5	2.3	2.7	0.5	0.3	0.5	0.3	1.6	4.7
303	Boban Marjanovic	C	30	LAC	34	9	10.6	2.4	3.9	.612	0.0	0.1	.000	2.4	3.9	.621	.612	2.0	2.6	.756	1.5	2.7	4.2	0.6	0.3	0.5	1.0	1.6	6.8
304	Lauri Markkanen	PF	21	CHI	30	29	31.6	6.3	14.6	.430	2.5	6.5	.381	3.8	8.1	.469	.515	2.5	2.9	.862	1.1	6.9	8.0	1.0	0.8	0.8	1.6	2.2	17.5
305	Jarell Martin	PF	24	ORL	28	1	8.4	1.1	2.5	.423	0.4	1.1	.333	0.7	1.5	.488	.493	0.3	0.3	.875	0.3	1.4	1.6	0.5	0.1	0.3	0.4	1.1	2.8
306	Frank Mason	PG	24	SAC	33	0	11.6	1.7	4.1	.404	0.3	1.4	.196	1.4	2.7	.511	.438	1.0	1.5	.688	0.1	1.0	1.1	2.5	0.5	0.1	0.9	0.8	4.6
307	Wesley Matthews	SF	32	DAL	44	44	29.8	4.4	10.7	.414	2.3	6.0	.380	2.1	4.7	.456	.520	2.0	2.5	.791	0.5	1.9	2.3	2.3	0.8	0.3	1.3	2.3	13.1
308	Luc Mbah a Moute	PF	32	LAC	4	0	15.3	2.0	4.5	.444	0.5	1.5	.333	1.5	3.0	.500	.500	0.5	1.3	.400	0.5	1.3	1.8	0.5	0.3	0.3	0.5	2.0	5.0
309	Patrick McCaw	SG	23	TOT	9	0	11.2	0.3	1.8	.188	0.1	0.9	.125	0.2	0.9	.250	.219	0.2	0.2	1.000	0.3	1.3	1.7	0.8	0.6	0.0	0.9	0.9	1.0
309	Patrick McCaw	SG	23	CLE	3	0	17.7	0.7	3.0	.222	0.3	1.3	.250	0.3	1.7	.200	.278	0.0	0.0		0.0	1.0	1.0	0.7	0.7	0.0	1.0	0.3	1.7
309	Patrick McCaw	SG	23	TOR	6	0	8.0	0.2	1.2	.143	0.0	0.7	.000	0.2	0.5	.333	.143	0.3	0.3	1.000	0.5	1.5	2.0	0.8	0.5	0.0	0.8	1.2	0.7
310	CJ McCollum	SG	27	POR	51	51	34.0	8.3	17.8	.463	2.1	6.0	.359	6.1	11.9	.515	.523	2.4	2.8	.828	0.9	3.0	3.9	2.7	0.8	0.4	1.6	2.4	21.0
311	T.J. McConnell	PG	26	PHI	47	1	21.1	3.0	5.5	.541	0.2	0.7	.313	2.8	4.8	.573	.560	0.4	0.6	.769	0.4	1.9	2.3	3.9	1.2	0.3	1.3	1.7	6.6
312	Doug McDermott	SF	27	IND	51	0	17.5	2.4	5.1	.464	1.1	2.9	.388	1.3	2.2	.561	.573	0.9	1.0	.865	0.2	1.1	1.3	0.8	0.2	0.1	0.5	1.4	6.7
313	JaVale McGee	C	31	LAL	46	37	21.7	4.8	8.0	.593	0.0	0.2	.125	4.7	7.8	.604	.595	1.3	2.0	.644	2.4	4.4	6.8	0.8	0.6	2.1	1.5	2.5	10.8
314	Rodney McGruder	SG	27	MIA	47	44	25.7	3.3	8.0	.407	1.4	3.8	.365	1.9	4.2	.444	.493	0.8	1.0	.755	0.9	2.7	3.6	2.1	0.6	0.2	1.2	2.1	8.7
315	Alfonzo McKinnie	SF	26	GSW	43	1	14.7	2.1	4.4	.481	0.7	1.8	.354	1.5	2.6	.573	.556	0.3	0.7	.517	1.3	2.4	3.7	0.4	0.2	0.2	0.5	1.9	5.2
316	Ben McLemore	SG	25	SAC	19	0	8.3	1.3	3.4	.391	0.9	2.2	.415	0.4	1.2	.348	.523	0.4	0.6	.667	0.2	0.7	0.9	0.2	0.3	0.2	0.3	1.2	3.9
317	Jordan McRae	SG	27	WAS	13	0	6.8	1.2	2.6	.441	0.4	0.7	.556	0.8	1.9	.400	.515	0.4	0.7	.556	0.2	0.7	0.9	0.4	0.3	0.1	0.2	0.2	3.1
318	Salah Mejri	C	32	DAL	16	1	6.8	0.9	1.8	.536	0.0	0.1	.000	0.9	1.6	.577	.536	0.4	0.5	.875	0.8	1.6	2.4	0.4	0.1	0.2	0.3	1.0	2.3
319	De'Anthony Melton	PG	20	PHO	33	25	20.5	2.2	5.8	.368	0.7	2.3	.312	1.4	3.5	.405	.430	0.5	0.5	.833	0.5	2.1	2.6	3.3	1.5	0.5	1.7	2.6	5.5
320	Chimezie Metu	PF	21	SAS	22	0	5.2	0.7	2.1	.340	0.0	0.1	.000	0.7	2.0	.356	.340	0.6	0.8	.765	0.4	0.9	1.2	0.5	0.2	0.1	0.5	0.5	2.0
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
321	Khris Middleton	SF	27	MIL	49	49	31.2	6.2	14.0	.443	2.4	6.2	.383	3.8	7.8	.490	.527	2.6	3.1	.843	0.5	5.3	5.8	4.2	1.1	0.1	2.3	2.3	17.4
322	C.J. Miles	SF	31	TOR	38	1	14.2	1.7	5.3	.330	1.1	3.5	.303	0.7	1.8	.382	.430	0.8	1.1	.775	0.3	1.4	1.7	0.6	0.4	0.2	0.5	1.5	5.3
323	Darius Miller	SF	28	NOP	48	10	25.0	2.6	6.5	.397	1.9	5.0	.377	0.7	1.5	.466	.542	0.7	0.8	.850	0.1	1.6	1.8	1.7	0.7	0.4	0.8	2.4	7.8
324	Patty Mills	PG	30	SAS	54	0	23.7	3.3	7.7	.433	1.8	4.5	.402	1.5	3.2	.477	.550	1.2	1.4	.857	0.3	2.1	2.4	3.0	0.7	0.2	1.2	1.5	9.7
325	Paul Millsap	PF	33	DEN	44	40	25.7	4.4	9.0	.485	0.7	1.9	.353	3.7	7.1	.521	.523	2.5	3.5	.723	2.0	4.5	6.5	1.9	1.2	0.8	1.3	2.5	12.0
326	Shake Milton	SG	22	PHI	13	0	9.7	1.5	3.5	.435	0.8	1.9	.400	0.8	1.6	.476	.543	0.3	0.4	.800	0.5	1.0	1.5	1.0	0.3	0.2	0.2	1.1	4.2
327	Nikola Mirotic	PF	27	NOP	32	22	28.9	5.7	12.7	.447	2.7	7.2	.368	3.0	5.5	.551	.552	2.7	3.2	.842	1.4	6.8	8.3	1.1	0.7	0.8	1.2	2.7	16.7
328	Donovan Mitchell	SG	22	UTA	50	50	33.2	8.2	19.4	.421	2.2	6.7	.324	6.0	12.6	.473	.478	3.9	4.9	.796	0.7	3.2	3.8	4.0	1.5	0.4	2.8	2.7	22.4
329	Naz Mitrou-Long	SG	25	UTA	10	0	3.9	0.2	0.8	.250	0.1	0.6	.167	0.1	0.2	.500	.313	0.0	0.0		0.0	0.2	0.2	0.4	0.0	0.0	0.3	0.5	0.5
330	Malik Monk	SG	20	CHO	49	0	18.8	3.7	9.1	.401	1.7	4.9	.346	2.0	4.2	.466	.494	1.6	1.7	.905	0.2	1.6	1.8	1.9	0.6	0.3	1.3	1.4	10.6
