Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
433	Caleb Swanigan	PF	21	POR	18	0	8.1	0.8	2.4	.318	0.1	0.3	.200	0.7	2.2	.333	.330	0.3	0.4	.857	0.7	2.2	2.9	0.4	0.2	0.0	0.9	1.2	1.9
434	Jayson Tatum	SF	20	BOS	52	52	30.9	6.0	13.4	.451	1.6	4.3	.376	4.4	9.1	.486	.511	2.5	2.9	.855	1.0	5.1	6.1	1.8	1.0	0.8	1.5	2.1	16.2
435	Jeff Teague	PG	30	MIN	31	31	30.3	3.8	9.5	.406	0.9	2.6	.341	2.9	6.8	.431	.454	2.9	3.6	.820	0.4	2.1	2.4	8.1	1.1	0.4	2.3	2.1	11.5
436	Garrett Temple	SG	32	MEM	49	49	31.2	3.4	7.9	.429	1.5	4.3	.352	1.9	3.6	.520	.525	1.2	1.6	.750	0.4	2.7	3.1	1.4	1.0	0.5	1.1	2.7	9.4
437	Milos Teodosic	PG	31	LAC	15	0	10.0	1.1	2.7	.425	0.7	1.8	.370	0.5	0.9	.538	.550	0.3	0.5	.571	0.2	0.9	1.1	2.1	0.2	0.1	1.4	1.8	3.2
438	Jared Terrell	SG	23	MIN	7	0	9.6	1.1	3.7	.308	0.6	1.6	.364	0.6	2.1	.267	.385	0.1	0.3	.500	0.1	0.3	0.4	1.0	0.4	0.1	1.0	1.1	3.0
439	Emanuel Terry	PF	22	PHO	2	0	10.0	2.0	3.0	.667	0.0	0.0		2.0	3.0	.667	.667	0.5	1.0	.500	1.0	2.0	3.0	0.5	1.5	0.0	1.0	2.0	4.5
440	Daniel Theis	C	26	BOS	38	2	14.9	2.4	4.4	.539	0.4	1.1	.390	1.9	3.3	.587	.587	1.1	1.5	.732	1.5	2.5	4.1	1.1	0.3	0.6	0.6	2.7	6.2
Rk	Player	Pos	Age	Tm	G	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	FTA	FT%	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PS/G
441	Khyri Thomas	SG	22	DET	14	0	8.6	1.1	2.8	.385	0.6	1.6	.409	0.4	1.2	.353	.500	0.4	0.6	.667	0.1	0.7	0.9	0.3	0.3	0.3	0.2	0.8	3.2
442	Lance Thomas	PF	30	NYK	23	11	16.2	1.3	3.4	.385	0.3	1.3	.200	1.0	2.1	.500	.423	0.8	0.9	.857	0.5	2.0	2.5	0.5	0.7	0.3	0.6	1.9	3.7
443	Klay Thompson	SG	28	GSW	51	51	34.2	8.5	18.4	.465	2.9	7.5	.383	5.7	10.9	.522	.543	1.8	2.3	.810	0.4	3.6	4.0	2.0	1.2	0.6	1.6	2.2	21.8
444	Tristan Thompson	C	27	CLE	35	35	29.8	4.9	9.4	.526	0.0	0.0		4.9	9.4	.526	.526	1.6	2.4	.647	4.4	6.7	11.1	2.1	0.8	0.5	1.4	2.3	11.5
445	Sindarius Thornwell	SG	24	LAC	35	0	5.2	0.4	0.9	.406	0.1	0.3	.200	0.3	0.6	.500	.438	0.4	0.5	.684	0.1	0.7	0.8	0.3	0.1	0.1	0.4	0.8	1.2
446	Anthony Tolliver	PF	33	MIN	36	0	15.1	1.4	3.3	.417	1.1	2.9	.387	0.3	0.4	.643	.588	0.6	0.8	.750	0.3	1.9	2.2	0.6	0.3	0.3	0.5	1.4	4.5
447	Karl-Anthony Towns	C	23	MIN	52	52	33.2	8.3	16.5	.501	1.8	4.7	.376	6.5	11.8	.550	.554	4.5	5.4	.840	3.4	8.7	12.1	3.2	1.0	1.8	2.8	3.8	22.8
448	Gary Trent	SG	20	POR	7	0	4.7	0.7	2.4	.294	0.4	1.1	.375	0.3	1.3	.222	.382	0.1	0.6	.250	0.0	0.6	0.6	0.1	0.0	0.1	0.1	0.1	2.0
449	Allonzo Trier	SG	23	NYK	44	3	22.3	3.5	7.8	.450	0.6	1.7	.373	2.9	6.1	.472	.491	2.8	3.3	.840	0.5	2.4	3.0	2.0	0.5	0.3	1.8	1.6	10.4
450	P.J. Tucker	PF	33	HOU	52	52	35.4	2.8	6.9	.404	1.8	4.9	.369	1.0	2.0	.490	.535	0.6	0.9	.633	1.5	4.7	6.1	1.3	1.6	0.4	0.9	3.1	8.0
451	Evan Turner	PG	30	POR	51	2	24.1	3.2	6.9	.470	0.1	0.8	.167	3.1	6.1	.511	.480	1.1	1.5	.692	0.6	4.0	4.7	3.9	0.5	0.3	1.7	1.7	7.7
